历 年 全 部 工 业 总 产 值
"
", 11-3续表2,"
",单位：万元
"
",年 份,"
",工业总产值,"
", 
"
",轻工业产值,"
",重工业产值
"
",1 9 9 1,"
",3 986 427,"
",2 318 257,"
",1 668 170
"
",1 9 9 2,"
",4 826 834,"
",2 835 728,"
",1 991 106
"
",1 9 9 3,"
",5 929 236,"
",3 422 107,"
",2 507 129
"
",1 9 9 4,"
",8 456 974,"
",4 931 262,"
",3 525 712
"
",1 9 9 5,"
",9 412 635,"
",5 579 637,"
",3 832 998
"
",1 9 9 6,"
",11 173 672,"
",6 793 007,"
",4 380 665
"
",1 9 9 7,"
",13 704 735,"
",8 620 710,"
",5 084 025
"
",1 9 9 8,"
",15 794 106,"
",10 153 634,"
",5 640 472
"
",1 9 9 9,"
",16 822 436,"
",10 918 827,"
",5 903 609
"
",2 0 0 0,"
",19 408 338,"
",12 433 214,"
",6 975 124
"
",2 0 0 1,"
",22 398 464,"
",14 368 582,"
",8 029 882
"
",2 0 0 2,"
",25 794 324,"
",14 811 106,"
",10 983 218
"
",2 0 0 3,"
",31 195 595,"
",17 306 539,"
",13 889 056
"
",2 0 0 4,"
",39 590 783,"
",21 473 202,"
",18 117 581
"
",2 0 0 5,"
",50 017 829,"
",24 697 792,"
",25 320 037
"
","""一五""时期合计","
",647 974,"
",437 287,"
",210 687
"
","""二五""时期合计","
",1 077 075,"
",388 406,"
",688 669
"
",1963-1965年合计,"
",532 351,"
",334 279,"
",198 072
"
","""三五""时期合计","
",1 481 941,"
",883 485,"
",598 456
"
","""四五""时期合计","
",1 761 739,"
",1 107 324,"
",654 415
"
","""五五""时期合计","
",2 798 882,"
",1 733 413,"
",1 065 469
"
","""六五""时期合计","
",4 289 187,"
",2 737 084,"
",1 552 103
"
","""七五""时期合计","
",12 265 142,"
",7 265 939,"
",4 999 204
"
","""八五""时期合计","
",32 612 106,"
",19 087 323,"
",13 524 783
"
","""九五""时期合计","
",76 903 287,"
",48 919 392,"
",27 983 895
"
","""十五""时期合计","
",168 996 995,"
",92 657 221,"
",76 339 774
