农、 林、 牧、 渔 业 增 加 值
"
",10-9 ,"
",(2005年),"
",单位：万元
"
", ,"
",总  计,"
", 
"
",农  业,"
", ,"
",林 业,"
",牧 业,"
",渔  业
"
",#种植业
"
", 一、总产值,"
",3 205 057,"
",1 265 695,"
",1 265 695,"
",25 246,"
",1 070 831,"
",843 285
"
", 二、中间消耗,"
",1 458 675,"
",471 535,"
",471 535,"
",12 808,"
",645 893,"
",328 439
"
", 中间物质消耗,"
",1 263 824,"
",425 161,"
",425 161,"
",10 549,"
",574 849,"
",253 265
"
", 对非农生产部门的劳动支出,"
",194 851,"
",46 374,"
",46 374,"
",2 259,"
",71 044,"
",75 174
"
", 三、增加值,"
",1 746 382,"
",794 160,"
",794 160,"
",12 438,"
",424 938,"
",514 846
